transaction_id,user_id,transaction_amount,merchant_category,transaction_hour,day_of_week,device_type,location_city,distance_from_home,is_new_device,failed_attempts_last_1hr,avg_transaction_amount_30d,is_fraud
TXN0000071,USR43462,1120.37,fuel,21,5,web,Hyderabad,38.33,0,5,771.46,0
TXN0000072,USR42034,10404.51,grocery,2,0,web,Mumbai,8.09,0,0,11459.02,0
TXN0000073,USR42813,5260.63,utilities,7,6,mobile,Bangalore,24.28,1,0,3330.86,0
TXN0000074,USR22537,4994.22,restaurant,13,0,POS,Chennai,1.12,0,0,6035.62,0
TXN0000075,USR20140,5001.11,grocery,14,5,web,Delhi,35.22,0,1,4624.26,0
TXN0000076,USR30910,1692.99,pharmacy,10,5,web,Surat,26.59,1,0,2143.81,0
TXN0000077,USR02203,8933.01,clothing,11,4,web,Chennai,11.99,0,0,8370.7,0
TXN0000078,USR20008,18198.28,entertainment,10,6,POS,Mumbai,26.97,0,0,24461.0,0
TXN0000079,USR42797,19367.67,utilities,12,6,mobile,Surat,87.5,1,4,2543.47,1
TXN0000080,USR40539,39246.51,pharmacy,3,4,web,Jaipur,8.76,0,3,37921.03,0
TXN0000081,USR01198,2552.56,grocery,16,5,web,Surat,3.97,0,0,3320.31,0
TXN0000082,USR41720,1686.82,restaurant,7,2,mobile,Mumbai,6.02,0,0,1623.73,0
TXN0000083,USR39341,3989.94,utilities,12,1,mobile,Chennai,4.08,0,0,2498.65,0
TXN0000084,USR13680,833.85,fuel,7,0,mobile,Delhi,27.29,0,0,783.14,0
TXN0000085,USR13317,11809.53,clothing,8,3,mobile,Bangalore,0.19,0,0,9889.89,0
TXN0000086,USR39530,3809.44,clothing,17,5,mobile,Pune,23.14,1,0,1195.2,1
TXN0000087,USR15321,5956.65,restaurant,7,2,mobile,Hyderabad,22.28,0,0,6548.3,0
TXN0000088,USR09254,1755.63,pharmacy,10,5,web,Delhi,4.78,0,0,1447.68,0
TXN0000089,USR16612,3349.45,restaurant,16,6,POS,Jaipur,30.86,0,0,3943.74,0
TXN0000090,USR09412,466.54,restaurant,5,2,mobile,Mumbai,1.26,0,0,478.18,0
TXN0000091,USR23152,2113.43,restaurant,12,0,mobile,Delhi,7.3,0,0,1695.37,0
TXN0000092,USR27680,2908.23,pharmacy,7,0,mobile,Chennai,65.37,0,0,1993.17,0
TXN0000093,USR31888,5522.39,fuel,9,0,mobile,Mumbai,0.58,0,0,6700.59,0
TXN0000094,USR16926,9342.15,restaurant,16,6,mobile,Chennai,3.38,0,0,8780.7,0
TXN0000095,USR33842,1251.14,restaurant,15,0,web,Chennai,10.58,0,0,1533.44,0
TXN0000096,USR33950,4192.13,grocery,14,0,mobile,Delhi,11.62,0,0,3937.24,0
TXN0000097,USR09492,34955.99,electronics,10,0,mobile,Mumbai,6.51,0,0,22162.68,0
TXN0000098,USR01382,6325.96,grocery,7,3,web,Chennai,14.85,0,0,4198.34,0
TXN0000099,USR31884,1768.73,entertainment,12,3,mobile,Chennai,25.73,0,2,1130.08,0
TXN0000100,USR17024,7499.62,fuel,11,5,mobile,Ahmedabad,4.11,0,0,9620.29,0
TXN0000101,USR33527,3330.13,restaurant,9,1,mobile,Chennai,1.8,0,0,4532.4,0
TXN0000102,USR41469,1202.04,pharmacy,9,6,mobile,Mumbai,32.37,0,0,1261.29,0
TXN0000103,USR28967,4057.44,fuel,18,5,POS,Jaipur,22.69,0,0,5054.26,0
TXN0000104,USR25745,8447.17,electronics,22,1,mobile,Bangalore,3.98,0,0,7178.48,0
TXN0000105,USR18091,8714.99,grocery,19,0,mobile,Surat,12.82,0,0,8042.27,0
TXN0000106,USR16293,4614.93,electronics,19,3,mobile,Mumbai,1.45,1,1,3389.34,0
TXN0000107,USR10003,5016.44,grocery,19,2,mobile,Jaipur,10.42,1,0,4558.23,0
TXN0000108,USR22567,3299.11,entertainment,13,5,web,Chennai,7.95,0,0,4505.28,0
TXN0000109,USR10671,3941.58,grocery,21,2,web,Kolkata,19.8,0,0,3740.6,0
TXN0000110,USR46976,2756.73,restaurant,11,1,web,Bangalore,12.96,0,0,3358.94,0
TXN0000111,USR03618,26558.28,restaurant,10,5,mobile,Delhi,2.9,0,1,33549.74,0
TXN0000112,USR36617,6020.89,travel,5,3,mobile,Jaipur,11.51,0,0,4667.66,0
TXN0000113,USR02817,2144.87,entertainment,20,3,mobile,Pune,5.47,0,0,2064.69,0
TXN0000114,USR49270,5432.14,restaurant,17,6,mobile,Delhi,16.77,0,0,5757.13,0
TXN0000115,USR02319,10155.53,pharmacy,2,3,mobile,Pune,0.01,0,0,7883.28,0
TXN0000116,USR02380,1526.92,grocery,15,5,mobile,Delhi,7.86,0,0,1758.96,0
TXN0000117,USR21520,1208.51,entertainment,15,2,POS,Kolkata,1.95,0,0,1283.6,0
TXN0000118,USR48501,3906.06,pharmacy,18,6,web,Kolkata,2.93,0,0,2902.16,0
TXN0000119,USR13843,8397.13,restaurant,6,6,mobile,Ahmedabad,3.95,1,0,8590.22,0
TXN0000120,USR23487,2338.27,entertainment,14,4,mobile,Kolkata,4.05,0,0,1775.6,0
TXN0000121,USR03661,5733.41,restaurant,11,2,mobile,Kolkata,49.69,0,0,5283.92,0
TXN0000122,USR02275,34087.58,entertainment,12,6,web,Surat,3.82,0,1,40695.24,0
TXN0000123,USR45472,7878.7,grocery,16,3,web,Kolkata,1.78,0,0,7299.46,0
TXN0000124,USR32224,3092.1,electronics,14,4,mobile,Delhi,4.33,0,0,2970.82,0
TXN0000125,USR04547,3143.21,grocery,17,1,mobile,Surat,7.68,0,0,3601.88,0
TXN0000126,USR03808,4776.51,restaurant,12,0,POS,Bangalore,4.08,1,1,6035.16,0
TXN0000127,USR19221,1084.04,grocery,7,1,POS,Surat,9.02,0,2,807.34,0
TXN0000128,USR08318,2478.82,clothing,0,6,mobile,Pune,6.1,0,0,2685.51,0
TXN0000129,USR39897,9902.05,jewelry,11,5,mobile,Ahmedabad,3.13,0,0,9424.86,0
TXN0000130,USR24447,10989.46,grocery,8,3,mobile,Delhi,41.06,0,0,13907.02,0
TXN0000131,USR06265,17460.01,electronics,8,3,mobile,Jaipur,28.33,0,0,15303.23,0
TXN0000132,USR36724,16171.51,pharmacy,14,1,web,Jaipur,12.4,0,0,11971.55,0
TXN0000133,USR22436,2698.84,grocery,12,4,web,Kolkata,10.35,0,0,3649.17,0
TXN0000134,USR02960,5857.02,fuel,0,3,web,Pune,4.47,0,1,6104.53,0
TXN0000135,USR06485,6303.47,travel,11,1,mobile,Jaipur,0.91,0,0,3817.69,0
TXN0000136,USR25329,8659.78,fuel,9,2,mobile,Bangalore,10.04,0,0,8551.71,0
TXN0000137,USR43898,9837.05,utilities,6,1,mobile,Kolkata,7.63,1,0,6929.45,0
TXN0000138,USR08732,12369.58,restaurant,8,4,mobile,Ahmedabad,72.01,0,1,4555.23,1
TXN0000139,USR17315,7876.44,restaurant,12,1,mobile,Bangalore,5.42,0,0,4818.5,0
TXN0000140,USR18960,7318.4,fuel,10,5,web,Hyderabad,25.09,0,0,6700.1,0
TXN0000141,USR47845,1941.48,restaurant,7,2,mobile,Jaipur,21.89,0,1,2390.32,0
TXN0000142,USR30532,3144.93,clothing,19,6,mobile,Pune,1.54,0,1,4076.07,0
TXN0000143,USR12648,15099.63,travel,7,5,mobile,Jaipur,6.81,1,0,16406.47,0
TXN0000144,USR20015,4711.36,travel,14,2,mobile,Chennai,1.32,0,0,3586.06,0
TXN0000145,USR10197,1762.82,grocery,21,0,web,Chennai,5.62,0,2,1902.12,0
TXN0000146,USR35178,2047.87,electronics,9,6,mobile,Ahmedabad,60.93,0,0,2805.1,0
TXN0000147,USR45350,5993.28,pharmacy,12,5,web,Bangalore,17.79,0,0,5264.98,0
TXN0000148,USR39138,18821.15,clothing,19,4,mobile,Mumbai,3.77,0,0,25820.32,0
TXN0000149,USR09178,2281.49,fuel,21,5,mobile,Ahmedabad,1.59,0,0,1876.87,0
TXN0000150,USR49624,40986.32,electronics,8,2,POS,Pune,18.96,0,0,47843.49,0
TXN0000151,USR03972,9278.09,restaurant,11,1,web,Ahmedabad,26.55,0,0,12206.61,0
TXN0000152,USR23727,5060.51,electronics,6,4,web,Mumbai,10.1,0,0,3921.45,0
TXN0000153,USR10050,4262.73,electronics,23,4,web,Bangalore,1.14,0,1,3902.14,0
TXN0000154,USR24637,6541.13,fuel,10,3,mobile,Chennai,12.33,0,0,5928.36,0
TXN0000155,USR09226,8288.31,travel,0,1,mobile,Pune,267.77,1,1,2695.72,1
TXN0000156,USR36693,2038.61,travel,19,4,web,Hyderabad,0.06,0,0,2180.76,0
TXN0000157,USR20749,42118.37,fuel,16,0,POS,Hyderabad,14.86,0,0,46103.02,0
TXN0000158,USR30146,14150.3,electronics,18,5,mobile,Mumbai,13.82,0,0,17733.57,0
TXN0000159,USR27666,7883.25,grocery,16,6,web,Hyderabad,0.82,0,0,9224.1,0
TXN0000160,USR40699,363.01,grocery,13,2,POS,Surat,26.69,0,0,360.49,0
TXN0000161,USR02653,6662.17,restaurant,22,5,web,Ahmedabad,39.94,0,0,8698.87,0
TXN0000162,USR38578,4772.09,grocery,10,2,mobile,Surat,28.54,0,0,2939.53,0
TXN0000163,USR06876,4111.06,clothing,8,5,web,Bangalore,2.78,0,1,3780.7,0
TXN0000164,USR16388,1023.11,travel,14,0,mobile,Bangalore,63.62,0,0,1343.45,0
TXN0000165,USR29848,5081.97,electronics,12,6,web,Surat,1.24,0,0,3883.78,0
TXN0000166,USR04759,2668.1,fuel,14,4,mobile,Delhi,0.19,0,0,2828.76,0
TXN0000167,USR37090,3020.66,grocery,10,6,POS,Surat,24.42,0,0,2613.89,0
TXN0000168,USR26073,648.2,fuel,8,1,mobile,Ahmedabad,21.01,0,0,396.38,0
TXN0000169,USR40572,3490.42,fuel,8,2,mobile,Pune,13.86,0,0,2117.74,0
TXN0000170,USR38731,2228.17,clothing,15,1,mobile,Hyderabad,2.65,1,0,1640.14,0
TXN0000171,USR36738,8488.82,electronics,2,6,mobile,Hyderabad,7.68,0,0,6061.86,0
TXN0000172,USR44740,4140.38,fuel,12,6,web,Surat,1.89,0,0,5276.18,0
TXN0000173,USR22336,9885.15,restaurant,6,5,web,Delhi,12.04,0,0,6311.55,0
TXN0000174,USR07178,61920.82,restaurant,6,3,web,Delhi,4.17,0,0,75200.91,0
TXN0000175,USR26623,3918.39,travel,10,5,POS,Delhi,15.79,0,0,4495.39,0
TXN0000176,USR28847,10638.67,restaurant,14,0,POS,Chennai,9.89,0,2,11306.34,0
TXN0000177,USR37596,1022.57,pharmacy,13,3,mobile,Kolkata,5.75,0,0,899.77,0
TXN0000178,USR08960,7617.69,pharmacy,11,1,POS,Bangalore,37.18,0,0,8956.37,0
TXN0000179,USR27968,1929.85,clothing,6,0,mobile,Surat,3.67,0,0,1572.77,0
TXN0000180,USR08775,1649.32,pharmacy,3,6,web,Jaipur,48.99,0,2,1299.99,0
TXN0000181,USR34000,2157.42,restaurant,9,1,mobile,Surat,9.27,0,0,2108.11,0
TXN0000182,USR29211,7217.6,entertainment,12,1,POS,Chennai,4.94,1,0,7629.59,0
TXN0000183,USR31405,6261.36,fuel,19,4,web,Bangalore,5.82,0,1,8133.95,0
TXN0000184,USR33539,9493.82,travel,6,6,mobile,Mumbai,3.15,0,0,8419.63,0
TXN0000185,USR35874,18530.6,restaurant,17,6,mobile,Mumbai,4.08,0,0,24153.49,0
TXN0000186,USR34784,15239.34,electronics,7,5,web,Jaipur,25.81,0,0,19169.74,0
TXN0000187,USR48857,3879.65,electronics,16,3,web,Bangalore,4.4,0,0,4101.01,0
TXN0000188,USR19947,687.23,pharmacy,7,3,mobile,Pune,33.27,0,0,630.56,0
TXN0000189,USR45056,15923.44,travel,14,5,mobile,Kolkata,4.15,0,0,10773.2,0
TXN0000190,USR26184,1010.27,grocery,14,1,mobile,Bangalore,10.89,0,0,705.66,0
TXN0000191,USR16575,2363.61,electronics,12,6,POS,Hyderabad,12.96,0,0,3233.81,0
TXN0000192,USR27016,23348.66,fuel,16,1,mobile,Chennai,10.32,0,0,28632.58,0
TXN0000193,USR03282,12686.08,electronics,15,3,mobile,Chennai,0.7,0,0,14874.86,0
TXN0000194,USR38399,6962.45,restaurant,11,5,mobile,Chennai,5.02,0,0,5793.13,0
TXN0000195,USR16366,2290.32,clothing,7,1,web,Mumbai,17.58,0,0,1470.25,0
TXN0000196,USR12890,3539.14,fuel,11,5,POS,Jaipur,33.07,0,0,2853.99,0
TXN0000197,USR32168,5719.91,electronics,18,3,web,Ahmedabad,1.18,0,0,4417.61,0
TXN0000198,USR04344,3853.71,fuel,7,3,mobile,Kolkata,2.05,0,0,2461.69,0
TXN0000199,USR33379,23887.49,utilities,4,0,web,Chennai,1.23,0,0,17154.0,0
TXN0000200,USR39847,6017.44,restaurant,18,4,POS,Mumbai,12.03,0,0,6840.3,0
TXN0000201,USR32748,575.96,grocery,18,4,POS,Delhi,29.64,0,0,785.34,0
TXN0000202,USR06922,8815.18,electronics,8,2,mobile,Pune,19.48,0,0,10611.49,0
TXN0000203,USR10644,28200.28,pharmacy,12,2,mobile,Jaipur,11.03,0,0,35002.79,0
TXN0000204,USR15809,3102.43,electronics,14,5,mobile,Jaipur,0.92,0,0,2251.57,0
TXN0000205,USR08394,2466.78,grocery,20,5,mobile,Bangalore,11.93,0,0,1688.77,0
TXN0000206,USR14921,819.5,fuel,9,0,mobile,Hyderabad,12.94,0,0,912.22,0
TXN0000207,USR25370,3425.61,jewelry,7,5,mobile,Pune,12.97,0,0,3033.46,0
TXN0000208,USR35859,19318.69,travel,17,3,mobile,Mumbai,9.44,0,0,16822.77,0
TXN0000209,USR10615,39452.21,grocery,11,2,mobile,Bangalore,5.16,0,0,49837.23,0
TXN0000210,USR47494,9469.52,grocery,7,2,POS,Mumbai,19.42,0,0,12190.92,0
TXN0000211,USR48496,2962.86,fuel,7,1,web,Mumbai,3.2,0,0,3880.33,0
TXN0000212,USR06529,11438.89,restaurant,16,0,mobile,Ahmedabad,0.59,0,0,10581.45,0
TXN0000213,USR47916,20117.54,restaurant,21,5,mobile,Hyderabad,37.82,0,0,26723.05,0
TXN0000214,USR31263,6859.6,entertainment,11,2,web,Mumbai,1.78,0,0,6689.53,0
TXN0000215,USR22692,2647.92,restaurant,14,3,mobile,Delhi,5.81,0,0,2306.48,0
TXN0000216,USR03793,3733.07,grocery,10,4,web,Mumbai,7.52,0,0,3892.74,0
TXN0000217,USR29049,23552.82,restaurant,7,6,POS,Delhi,1.97,0,0,25781.92,0
TXN0000218,USR21418,6146.75,fuel,7,0,mobile,Surat,2.47,0,0,5624.82,0
TXN0000219,USR05043,2215.56,travel,13,3,mobile,Surat,24.06,0,0,1707.61,0
TXN0000220,USR10848,14570.71,clothing,8,6,POS,Bangalore,14.89,1,0,15441.67,0
TXN0000221,USR24828,4608.93,restaurant,8,2,web,Hyderabad,0.01,0,1,5381.16,0
TXN0000222,USR04836,20770.17,electronics,18,2,mobile,Pune,9.02,0,0,16773.27,0
TXN0000223,USR48457,6489.77,utilities,21,5,mobile,Pune,2.73,1,0,8858.66,0
TXN0000224,USR37368,16926.23,grocery,19,3,mobile,Kolkata,26.73,0,0,23470.36,0
TXN0000225,USR18504,1160.26,restaurant,10,5,web,Hyderabad,3.97,0,0,1135.3,0
TXN0000226,USR35693,25570.23,electronics,8,3,mobile,Hyderabad,16.3,0,0,25375.12,0
TXN0000227,USR05613,15684.64,grocery,21,0,web,Mumbai,19.82,0,0,19603.83,0
TXN0000228,USR06882,4335.3,entertainment,16,1,mobile,Jaipur,3.09,0,0,4182.62,0
TXN0000229,USR39553,10155.93,grocery,2,2,mobile,Hyderabad,10.15,0,0,12349.15,0
TXN0000230,USR03828,2778.67,grocery,12,6,POS,Mumbai,36.91,0,1,3712.09,0
TXN0000231,USR17428,15327.39,electronics,13,0,mobile,Kolkata,52.2,0,0,16568.6,0
TXN0000232,USR30023,2123.57,fuel,20,4,mobile,Bangalore,6.48,0,0,1809.5,0
TXN0000233,USR16928,6883.64,fuel,6,0,mobile,Chennai,19.27,0,0,4168.26,0
TXN0000234,USR04039,2718.28,pharmacy,14,3,mobile,Jaipur,2.57,0,0,2680.9,0
TXN0000235,USR16809,2563.43,travel,17,1,mobile,Hyderabad,11.23,0,0,3327.45,0
TXN0000236,USR04884,7146.01,grocery,18,3,web,Hyderabad,10.65,0,0,8569.6,0
TXN0000237,USR18591,18212.53,restaurant,12,2,mobile,Surat,3.08,0,0,21552.42,0
TXN0000238,USR12083,6699.09,grocery,16,6,mobile,Bangalore,1.14,0,0,4815.35,0
TXN0000239,USR28672,3012.69,electronics,10,6,web,Delhi,43.03,0,1,3420.14,0
TXN0000240,USR04714,4034.6,grocery,18,2,mobile,Mumbai,2.03,0,0,4225.71,0
TXN0000241,USR41907,1353.73,pharmacy,7,0,web,Ahmedabad,18.66,0,0,1648.19,0
TXN0000242,USR31646,5797.02,restaurant,18,1,mobile,Chennai,16.32,0,0,5011.91,0
TXN0000243,USR48681,1019.43,restaurant,16,1,mobile,Ahmedabad,12.53,1,0,768.87,0
TXN0000244,USR44688,6620.76,clothing,12,1,mobile,Kolkata,13.48,0,0,6135.32,0
TXN0000245,USR38730,9420.19,restaurant,10,4,web,Pune,2.32,0,0,7784.34,0
TXN0000246,USR42765,11763.25,travel,6,5,POS,Pune,5.67,0,0,16022.11,0
TXN0000247,USR45349,2270.38,pharmacy,9,6,web,Ahmedabad,2.47,0,0,2714.03,0
TXN0000248,USR17602,9614.41,electronics,11,6,POS,Kolkata,7.96,0,0,12659.6,0
TXN0000249,USR45419,8856.14,grocery,9,2,mobile,Surat,27.1,0,1,9446.52,0
TXN0000250,USR48526,4839.23,fuel,7,0,web,Pune,13.2,0,0,3534.45,0
TXN0000251,USR45496,6791.28,travel,16,0,mobile,Pune,12.6,0,1,8787.89,0
TXN0000252,USR43166,1540.14,utilities,11,2,mobile,Ahmedabad,0.14,0,0,2035.68,0
TXN0000253,USR49059,10164.14,utilities,13,5,mobile,Jaipur,9.62,0,0,8871.53,0
TXN0000254,USR26233,6199.16,electronics,9,2,mobile,Hyderabad,8.98,0,1,7706.65,0
TXN0000255,USR35479,16367.62,pharmacy,16,0,mobile,Hyderabad,2.6,0,0,18847.7,0
TXN0000256,USR13629,5284.9,fuel,9,2,web,Kolkata,3.98,0,2,4693.89,0
TXN0000257,USR36000,472.26,clothing,9,2,web,Pune,3.51,0,0,561.77,0
TXN0000258,USR28925,2915.35,electronics,11,1,mobile,Bangalore,18.98,1,0,3520.15,0
TXN0000259,USR34549,8987.81,grocery,8,4,web,Jaipur,2.75,0,0,8603.8,0
TXN0000260,USR25426,1002.81,grocery,8,6,mobile,Chennai,41.88,0,2,914.33,0
TXN0000261,USR32117,1216.94,entertainment,16,3,mobile,Pune,15.1,0,0,1270.02,0
TXN0000262,USR08113,8559.29,grocery,8,3,mobile,Jaipur,2.23,0,0,10328.57,0
TXN0000263,USR36106,2538.1,grocery,17,6,web,Delhi,18.19,0,0,2643.5,0
TXN0000264,USR36507,1844.18,grocery,17,5,web,Jaipur,8.39,0,0,1796.94,0
TXN0000265,USR40699,949.03,travel,14,1,mobile,Hyderabad,7.33,1,0,802.09,0
TXN0000266,USR42266,5588.94,travel,6,2,web,Surat,7.74,0,0,4942.43,0
TXN0000267,USR17721,72964.31,travel,14,1,mobile,Ahmedabad,1.81,0,0,46248.95,0
TXN0000268,USR17380,858.41,restaurant,14,5,mobile,Mumbai,5.7,1,0,1177.69,0
TXN0000269,USR35937,12406.38,clothing,11,3,mobile,Bangalore,24.96,0,0,8504.84,0
TXN0000270,USR45272,5805.3,grocery,1,2,mobile,Surat,40.11,0,0,8119.07,0
TXN0000271,USR07504,9089.8,pharmacy,13,5,web,Mumbai,48.67,0,0,10386.87,0
TXN0000272,USR42450,5563.36,restaurant,10,5,web,Delhi,16.26,0,0,6440.63,0
TXN0000273,USR27308,1105.35,jewelry,16,2,mobile,Ahmedabad,10.77,0,0,1288.11,0
TXN0000274,USR18143,2033.47,fuel,6,4,web,Hyderabad,32.09,0,0,2145.86,0
TXN0000275,USR33058,4328.65,electronics,16,5,web,Surat,8.34,0,0,4198.21,0
TXN0000276,USR42297,5654.49,pharmacy,14,1,web,Surat,5.88,0,0,7279.22,0
TXN0000277,USR13904,36831.68,jewelry,13,4,mobile,Pune,14.12,0,0,30997.58,0
TXN0000278,USR24093,32062.76,entertainment,12,2,mobile,Ahmedabad,1.64,0,0,30279.52,0
TXN0000279,USR42740,153771.88,utilities,0,6,mobile,Bangalore,50.12,1,0,57655.45,1
TXN0000280,USR46241,4923.3,pharmacy,10,6,web,Bangalore,25.39,0,0,6299.86,0
TXN0000281,USR23508,25909.15,restaurant,19,0,web,Jaipur,15.4,0,0,28768.99,0
